LOCUS,GD,WD,PD,JD,JS,PS,GS,SUMMARY
607:59 [750],,m,,,m,m,,
607:60 [751],m,m,,,Sd,m,m,
609:50 [752],,,,,,,,
613:4 [753],m,m,Sd,Sd,,m,m,
613:12 [754],,,,,,Sd,,
613:28 [755],m,m,,m,Sd,m,m,
613:36 [756],Sd,,,,,,,
613:39 [757],m,m,Sd,Sd,,m,m,
613:41 [758],,,,,,,,
613:64 [759],Sd,,,,,,,
613:72 [760],,,Sd,,Sd,Sd,,
613:79 [761],,,Sd,,,,,
613:80 [762],m,m,,m,Sd,m,Sd,
616:6 [763],Sd,,,Sd,,,Sd,
616:16 [764],m,,,Sd,,Sd,,
616:17 [765],,,,,,,,
616:41 [766],Sd,,,m,,,,
616:54 [767],Sd,,,Sd,,,,
616:57 [768],Sd,,Sd,Sd,,,,
616:70 [769],,,,,,,,
621:69 [770],,m,,m,m,m,m,
621:80 [771],,m,m,m,,m,m,
622:52 [772],,,,,,,,
622:64 [773],,,,Sd,,,,
622:67 [774],m,m,,m,m,m,,
626:35 [775],,,m,,Sd,,Sd,
626:59 [776],,,,m,m,m,m,
626:76 [777],,,,,,,Sd,
627:29 [778],,m,,m,m,m,m,
632:25 [779],m,,,m,m,m,m,
632:55 [780],,,,,,,,
632:74 [781],,,,,,,,
633:11 [782],m,,Sd,m,,,,
633:16 [783],,,Sd,,,,,
633:30 [784],m,,Sd,m,,,,
633:33 [785],m,Sd,,m,m,,,
633:34 [786],,,,,,,,
633:35 [787],,m,m,m,m,m,,
633:42 [788],m,Sd,m,m,m,,m,
633:45 [789],m,Sd,,m,m,,,
633:49 [790],m,m,,m,m,,m,
636:71 [791],m,,m,,m,,,
639:4 [792],,,m,,m,,,
639:9 [793],m,m,m,m,m,,,
639:14 [794],,,,,,,,
639:31 [795],m,m,m,m,m,,,
639:68 [796],m,m,m,m,m,,,
639:69 [797],m,,m,m,m,m,m,
639:78 [798],,,,,,,,
639:80 [799],,,,,,,,
640:35 [800],,m,m,,m,,m,
640:72 [801],Sd,m,,,,,m,
643:7 [802],m,,Sd,,m,,,
643:12 [803],m,,m,Sd,m,Sd,m,
643:36 [804],m,,m,m,m,m,,
643:38 [805],,m,,,,m,m,
643:41 [806],,,,,,,Sd,
643:63 [807],m,,m,m,m,m,,
644:18 [808],,,,,,Sd,,
644:60 [809],,,,,,,,
644:64 [810],,,,,,Sd,,
644:65 [811],Sd,,,,,Sd,,
644:70 [812],,,,m,,m,m,
652:7 [813],m,m,m,m,,m,,
652:32 [814],m,m,m,,Sd,m,m,
652:53 [815],m,m,m,m,,m,m,
652:68 [816],,,m,m,,m,Sd,
655:14 [817],m,m,m,,m,m,,
655:21 [818],m,m,,m,m,m,Sd,
655:50 [819],m,m,,m,m,m,Sd,
655:62 [820],m,m,,m,m,m,Sd,
655:71 [821],m,m,,m,m,m,Sd,
655:74 [822],m,m,,m,m,m,,
656:7 [823],,,m,,,,,
656:9 [824],,m,m,,,,,
656:18 [825],,,m,,,,,
656:63 [826],,,,,,,,
657:19 [827],,,,,Sd,,,
657:30 [828],Sd,,,,,,,
657:32 [829],m,m,m,m,m,,m,
657:66 [830],m,m,m,m,,m,m,
659:7 [831],,,Sd,,,Sd,,
659:12 [832],Sd,m,,m,m,,m,
659:17 [833],,,Sd,,,Sd,,
659:30 [834],,,Sd,,,Sd,,
659:73 [835],m,,,m,,m,m,
659:74 [836],m,,,m,,m,m,
659:80 [837],Sd,m,,m,m,,m,
662:9 [838],m,m,,m,m,m,,
662:28 [839],m,m,,m,m,m,,
662:29 [840],m,m,m,,m,m,,
662:45 [841],,Sd,Sd,,Sd,,Sd,
662:66 [842],Sd,Sd,Sd,,,Sd,,
662:77 [843],Sd,Sd,,,,,Sd,
663:64 [844],m,m,,,m,,Sd,
664:75 [845],,,m,m,m,m,m,
666:14 [846],m,,m,m,,m,m,
666:25 [847],,,,,,Sd,,
666:62 [848],,,,,,,,
666:69 [849],,,,,,Sd,,
666:72 [850],m,m,m,m,,m,m,
667:33 [851],,,,m,Sd,m,,
667:51 [852],m,Sd,m,m,m,,m,
667:63 [853],,,m,m,m,m,m,
668:67 [854],,m,,,,m,,
669:52 [855],,,,,,,,
669:53 [856],m,Sd,,,m,,m,
670:20 [857],,m,,m,m,m,m,
670:49 [858],m,m,Sd,m,,m,m,
670:51 [859],m,m,m,m,,,m,
670:59 [860],m,m,Sd,m,,m,m,
670:79 [861],,,,m,m,,Sd,
671:16 [862],m,m,,m,,,m,
671:18 [863],Sd,,,,,,,
671:24 [864],m,m,m,,,m,m,
671:25 [865],m,m,m,,,m,m,
671:39 [866],m,m,,m,,,m,
671:61 [867],m,,m,m,m,m,m,
672:15 [868],,m,Sd,,,,m,
672:58 [869],,m,Sd,,,,m,
672:62 [870],,m,m,,,,m,
672:67 [871],,m,,m,m,m,m,
673:4 [872],m,m,Sd,m,m,,m,
673:20 [873],,m,m,,m,m,,
673:41 [874],,,m,,m,,m,
673:74 [875],,,m,m,Sd,,m,
676:54 [876],,m,,,m,,,
676:56 [877],,,,,m,,m,
680:20 [878],,,,,,,,
680:58 [879],,,,,,,,
683:7 [880],,,,,,,,
683:13 [881],m,,,,m,m,Sd,
683:16 [882],,,,,,,,
683:24 [883],,,,,,,,
683:50 [884],,m,m,,m,,,
690:3 [885],m,,,m,,,m,
690:28 [886],,,,,,,,
690:39 [887],,m,m,,m,,,
690:61 [888],m,,,m,,,m,
690:66 [889],,,,,,,,
690:68 [890],Sd,,,,,,,
690:78 [891],,,,m,,,,
696:19 [892],,,,Sd,,,,
696:56 [893],,m,m,,,,m,
700:40 [894],,Sd,,,Sd,,Sd,
700:51 [895],m,Sd,m,m,m,m,m,
700:70 [896],,m,,m,m,Sd,,
703:38 [897],m,m,,,,m,,
707:16 [898],Se,,Se,Se,Se,,,EXCESS
707:46 [899],m,m,,m,m,m,,
707:67 [900],,,Se,Se,Se,,,EXCESS
707:68 [901],Se,,Se,Se,Se,,,EXCESS
707:70 [902],m,m,,m,m,m,m,
708:31 [903],m,m,,m,m,Sd,,
708:51 [904],,m,m,m,,m,m,
708:53 [905],,,m,,m,,m,
708:60 [906],,m,m,m,,m,m,
710:45 [907],Sd,,,,,,,
716:13 [908],m,m,,m,m,,m,
718:45 [909],m,m,m,m,,m,,
718:65 [910],m,,m,m,m,,m,
720:1 [911],Sd,Sd,m,Sd,m,Sd,Sd,SIGN
720:7 [912],m,m,m,m,m,m,,
720:20 [913],,Sd,m,,m,,,
720:44 [914],m,m,,,,,,
720:48 [915],Sd,,,,,,,
720:69 [916],Sd,,,,,,,
720:74 [917],,m,m,,m,,m,
722:14 [918],m,m,m,m,,,m,
722:32 [919],Sd,Sd,,,,,,
722:58 [920],Sd,Sd,,,,,,
722:62 [921],m,m,m,m,m,,m,
722:65 [922],m,,m,,m,,,
726:34 [923],,,m,,,,,
726:40 [924],m,,m,m,m,m,,
726:74 [925],,Sd,m,,m,m,m,
735:16 [926],,,m,m,,m,m,
736:6 [927],,,,,,,,
736:9 [928],,,,,,,,
736:23 [929],,,,,,,,
736:58 [930],m,m,m,,m,m,,
736:63 [931],,,,,,,,
736:75 [932],,,,,,,Sd,
743:21 [933],,,,,,,,
743:51 [934],m,m,Sd,m,,m,,
743:55 [935],,,,,,,Sd,
743:56 [936],,,,,,,,
743:71 [937],m,,,m,,,m,
744:5 [938],m,m,,,m,m,m,
744:14 [939],,,m,,m,m,,
744:27 [940],m,m,,m,Sd,m,m,
744:47 [941],m,m,,,Sd,m,m,
744:59 [942],m,m,,,m,m,m,
744:67 [943],,,m,,,,m,
746:53 [944],,,,,,,,
746:54 [945],,m,,m,m,m,m,
746:60 [946],,,,,,Sd,Sd,
746:61 [947],m,m,m,,,,,
746:64 [948],,,,m,,,m,
746:75 [949],,,,,,,,
748:12 [950],,,,,,,Sd,
748:59 [951],m,m,Sd,m,,m,m,
748:64 [952],,,,,,,Sd,
750:10 [953],m,m,,,m,m,Sd,
750:16 [954],,m,m,m,m,Sd,m,
750:45 [955],m,m,m,,,,m,
750:69 [956],,m,,,,m,m,
750:74 [957],m,,m,m,Sd,,,
751:26 [958],,,,,,,Sd,
751:46 [959],,,,Sd,,,Sd,
751:65 [960],,,,,,,Sd,
751:67 [961],,m,m,m,m,m,,
751:74 [962],,,,,,,Sd,
751:76 [963],m,m,m,,,m,m,
753:4 [964],,,,m,,m,,
753:13 [965],m,m,m,m,,m,m,
753:25 [966],m,,m,,,,,
753:34 [967],,,,,,,,
753:44 [968],,m,m,,,m,,
753:54 [969],m,m,,m,,m,m,
753:58 [970],,,,m,,m,,
753:61 [971],m,m,m,,,,m,
753:78 [972],,,,m,,,,
753:80 [973],,m,,,,,,
754:3 [974],,,,,,,,
754:14 [975],,,m,m,,m,,
754:17 [976],,,Sd,,,,,
754:41 [977],,,m,m,m,,m,
754:42 [978],,,Sd,,,,,
754:45 [979],Sd,m,m,,,,,
754:67 [980],,,Sd,,,,,
754:74 [981],,,m,,,m,,
755:40 [982],,,,m,m,,m,
755:64 [983],Sd,,,,,,,
755:74 [984],m,m,,m,m,m,,
756:1 [985],m,m,,,,m,m,
756:32 [986],,,,,,,,
761:2 [987],,m,m,,m,m,,
761:4 [988],m,,m,m,m,m,m,
761:5 [989],,m,m,m,m,,m,
761:14 [990],,m,m,,m,m,,
761:23 [991],m,m,,m,m,,m,
761:24 [992],,m,m,m,m,,m,
761:30 [993],,m,,,m,m,,
761:33 [994],,m,m,,m,m,,
761:35 [995],,m,,m,m,m,m,
761:46 [996],m,,m,m,m,m,m,
761:63 [997],m,,,m,m,,m,
761:77 [998],m,,m,m,m,m,m,
765:62 [999],,Sd,,,,Sd,,
765:71 [1000],,,,,,m,,
766:11 [1001],m,m,m,,,m,m,
766:24 [1002],,,,,,,m,
766:62 [1003],,,m,,,,,
772:38 [1004],,m,,m,m,m,m,
773:7 [1005],m,,m,,m,m,,
773:28 [1006],m,m,m,m,,m,,
773:36 [1007],,,,m,,,,
773:39 [1008],,,m,,m,m,,
773:47 [1009],m,,,m,,m,m,
773:51 [1010],m,m,m,m,,m,,
773:57 [1011],m,m,m,m,,m,,
773:64 [1012],m,m,m,,m,m,,
780:23 [1013],,m,,,m,Sd,,
780:39 [1014],m,m,m,m,,m,m,
780:43 [1015],m,m,,,m,,,
780:59 [1016],m,,m,m,,m,,
780:60 [1017],,,,,,,,
783:12 [1018],,,,m,m,,m,
783:15 [1019],,,,,,,,
783:48 [1020],,,,,,,,
783:56 [1021],,,,,,,,
783:69 [1022],,,,,m,,m,
783:77 [1023],,,,,,,,
785:3 [1024],,,,,,,,
785:12 [1025],m,m,m,,,m,,
785:19 [1026],,,,,,,,
785:36 [1027],,,,,,,,
785:64 [1028],,,,,,,,
785:71 [1029],m,m,m,,,m,,
786:8 [1030],,,,,,,,
786:16 [1031],,,m,,,,,
786:25 [1032],,,m,,,,,
791:26 [1033],,,,,Sd,Sd,,
791:44 [1034],,,,,Sd,m,,
791:80 [1035],,Sd,,,,,,
792:39 [1036],,,,,,,Sd,
792:70 [1037],,,,,,,,
792:73 [1038],,,Sd,,,,,
795:61 [1039],m,m,Sd,m,m,Sd,m,
802:31 [1040],,,,,,,,
802:37 [1041],m,m,m,m,m,,,
802:58 [1042],m,,m,m,m,m,m,
802:71 [1043],,,m,m,,,,
802:74 [1044],m,m,,,,,,
803:20 [1045],Sd,,,,,Sd,,
803:26 [1046],m,m,m,m,m,m,,
803:53 [1047],m,m,m,m,m,m,,
805:15 [1048],m,,m,m,Sd,,m,
805:25 [1049],,,,,,Sd,,
806:11 [1050],,m,m,m,,m,,
806:17 [1051],,m,m,m,,m,,
818:51 [1052],,,,m,,m,,
818:73 [1053],,Sd,,,,,,
822:11 [1054],,,,,,,,
822:23 [1055],,,,,,,,
823:36 [1056],,m,,,,,,
823:44 [1057],,,,,,,,
823:56 [1058],m,,m,,m,,,
823:80 [1059],m,m,m,m,,,m,
828:53 [1060],Sd,,,,Sd,,,
838:13 [1061],,,,,,,,
838:28 [1062],,,,m,Sd,m,m,
838:53 [1063],m,,m,,m,m,m,
841:10 [1064],,,,m,m,m,,
841:17 [1065],,,,m,m,m,,
842:13 [1066],m,,,,,m,,
845:40 [1067],,,m,m,,m,,
845:65 [1068],,,,,,,,
846:26 [1069],,m,m,m,,,Sd,
847:48 [1070],,,,,,m,,
847:52 [1071],,,,,,,,
847:68 [1072],m,,m,m,m,,m,
847:72 [1073],,,,,,,,
850:40 [1074],m,,,,,m,m,
850:45 [1075],m,,,,,m,m,
850:68 [1076],Sd,m,m,,,m,m,
856:36 [1077],Sd,,,,m,,m,
856:47 [1078],,,,,,,,
861:5 [1079],,,,,m,,,
861:57 [1080],m,,,m,m,m,m,
861:59 [1081],,,,,,,,
862:1 [1082],m,m,m,,Sd,m,m,
862:9 [1083],,m,Sd,,Sd,m,m,
862:18 [1084],,m,Sd,,Sd,m,m,
862:22 [1085],,m,Sd,,Sd,m,m,
862:68 [1086],,m,m,m,m,m,m,
862:71 [1087],,m,m,m,m,m,m,
863:78 [1088],m,,m,m,m,m,m,
871:8 [1089],,,,m,,,,
871:25 [1090],m,m,,m,m,m,m,
874:12 [1091],,,,m,,,,
874:17 [1092],,m,,,,,,
874:26 [1093],,m,,,,,,
874:32 [1094],,m,m,m,,m,m,
874:70 [1095],m,Sd,,m,,Sd,,
874:71 [1096],,,Sd,m,,,,
874:78 [1097],m,,m,m,m,m,,
876:39 [1098],,,,,,,,
876:66 [1099],m,,,,Sd,,Sd,
876:67 [1100],Sd,,,Sd,,m,,
876:76 [1101],,Sd,,,,Sd,,
887:13 [1102],Sd,,m,m,m,m,m,
887:72 [1103],,,,,,,,
894:78 [1104],,,,,,,,
894:79 [1105],,,,,,,,
894:80 [1106],,,,,,,,
899:32 [1107],m,,,,,,,
899:42 [1108],,,,,,,,
899:43 [1109],m,m,,,m,m,m,
899:63 [1110],,,,Sd,,,Sd,
903:80 [1111],,,,,Sd,,Sd,
905:55 [1112],m,m,,m,m,,m,
911:6 [1113],m,m,m,m,m,m,,
911:37 [1114],,m,,,m,,,
911:74 [1115],,,m,,Sd,,,
914:36 [1116],,m,m,m,m,m,m,
914:39 [1117],m,,m,,,,m,
914:52 [1118],m,,m,m,,,,
914:70 [1119],m,m,m,m,m,,m,
915:2 [1120],,Sd,,,Sd,Sd,,
915:62 [1121],,m,,m,,m,m,
918:63 [1122],m,m,,m,Sd,,,
920:22 [1123],m,,m,m,m,m,Sd,
920:24 [1124],m,Sd,,m,,m,,
923:16 [1125],Sd,,,,Sd,,,
923:20 [1126],Sd,,,,Sd,,,
923:53 [1127],m,,,m,,,m,
923:63 [1128],m,,m,m,m,,m,
928:14 [1129],,,,,,,,
928:28 [1130],,,,,,,,
928:40 [1131],,,,,,,,
928:49 [1132],,,m,,,,m,
928:67 [1133],,,m,,,,m,
929:58 [1134],m,m,,,,,,
933:19 [1135],,,,,,,m,
933:42 [1136],,,,,m,,m,
933:49 [1137],m,m,m,m,m,m,,
942:34 [1138],,m,m,m,,m,,
942:80 [1139],,,,,,,,
944:34 [1140],,m,,Sd,,,,
944:59 [1141],,m,,,,,,
948:4 [1142],,m,,,,,,
948:79 [1143],,,,,,,,
949:3 [1144],m,,m,,m,m,m,
949:21 [1145],,m,m,,m,,,
949:64 [1146],m,,,,,,,
951:3 [1147],m,m,m,,m,,m,
951:33 [1148],,m,,m,,,m,
951:39 [1149],,,,,,,Sd,
951:74 [1150],,,,,,,,
952:75 [1151],m,,m,m,m,,m,
952:77 [1152],,m,,,,,m,
957:9 [1153],,,,Sd,,Sd,m,
957:44 [1154],m,m,m,m,m,,,
959:12 [1155],,,,,,Sd,,
959:21 [1156],,,,,,,Sd,
959:31 [1157],,,Sd,,m,,Sd,
959:34 [1158],,,,,,,Sd,
959:44 [1159],,,Sd,,m,,Sd,
959:75 [1160],,,,,,,Sd,
962:14 [1161],,m,m,m,,,m,
962:38 [1162],,m,m,m,,,m,
962:50 [1163],,,,,,,,
962:66 [1164],,,Sd,,,,,
962:71 [1165],,,,,,Sd,,
963:24 [1166],Sd,,,,Sd,,,
963:34 [1167],,,,,m,,,
963:40 [1168],Sd,,,,Sd,,,
963:50 [1169],Sd,,,,Sd,,,
963:69 [1170],m,,m,m,,Sd,,
963:72 [1171],Sd,,,,Sd,,,
966:3 [1172],m,,,m,m,m,m,
966:21 [1173],m,,m,,,,,
966:37 [1174],,,Sd,,m,,,
966:49 [1175],,,m,m,m,,,
966:70 [1176],,m,,m,,,m,
968:3 [1177],,,,,,,,
968:9 [1178],m,m,m,,m,,m,
968:20 [1179],Sd,,,m,,,m,
968:27 [1180],,,,,,,,
968:33 [1181],m,m,m,,m,,m,
968:38 [1182],,,,,,,,
968:50 [1183],m,m,m,,m,,m,
968:55 [1184],,m,,m,,,m,
968:77 [1185],,m,,m,,,,
971:22 [1186],,Sd,,,,,,
974:18 [1187],,,Sd,Sd,,Sd,,
974:22 [1188],,m,,m,m,m,m,
976:31 [1189],,,,Sd,,,,
976:74 [1190],,,,m,,,,
981:15 [1191],,m,,m,,,,
981:44 [1192],,,,,,,,
981:64 [1193],,,,,,,m,
981:67 [1194],,m,,,,,,
983:25 [1195],,m,,,Sd,,,
984:10 [1196],,,,,,,,
984:30 [1197],,,,,,,,
984:80 [1198],,,,,,,,
985:70 [1199],,m,m,m,m,,m,
987:23 [1200],m,,,Sd,Sd,,,
987:26 [1201],m,,Sd,Sd,Sd,,,
987:37 [1202],m,,m,m,Sd,,,
987:38 [1203],m,,Sd,,Sd,,,
987:45 [1204],m,,,Sd,Sd,,,
987:49 [1205],m,,Sd,m,,m,m,
987:68 [1206],m,m,m,,,,,
990:4 [1207],m,m,m,m,,,m,
990:11 [1208],m,,m,,m,m,Sd,
990:24 [1209],m,,m,,m,m,Sd,
990:35 [1210],m,,m,,m,m,Sd,
990:39 [1211],m,,m,,m,m,Sd,
990:69 [1212],,,,,,,Sd,
991:4 [1213],,,,,,,,
991:25 [1214],Sd,,,,,,,
991:34 [1215],,,,,,,,
991:52 [1216],,,,,,,,
991:62 [1217],Sd,,Sd,,Sd,Sd,,
991:71 [1218],m,,,,,,Sd,
991:73 [1219],,,,,,,,
995:19 [1220],,,,,,,Sd,
995:64 [1221],m,Sd,,,Sd,,m,
995:76 [1222],,,,,,,Sd,
995:80 [1223],,,,,,,Sd,
998:19 [1224],,,,,,,,
998:26 [1225],,,,,,,,
998:53 [1226],m,,m,,,,,
998:57 [1227],,,,,,,,
998:80 [1228],m,,m,,,,,
1004:52 [1229],,,m,,,,,
1004:60 [1230],Sd,m,m,,,,,
1006:50 [1231],,,,,,,Sd,
1006:68 [1232],,,,,,,Sd,
1006:76 [1233],m,,,,Sd,m,m,
1009:21 [1234],,,m,,m,,m,
1009:35 [1235],,,,,,,,
1009:46 [1236],m,,m,m,m,m,m,
1009:74 [1237],m,,m,m,m,m,m,
1013:11 [1238],,,,,,,,
1013:24 [1239],,,,,,,,
1013:35 [1240],,,,,,,Sd,
1013:45 [1241],,,,,,,Sd,
1013:74 [1242],m,m,,m,,,m,
1013:77 [1243],,,,,,,,
1016:13 [1244],m,,,m,,m,,
1016:19 [1245],,,,,,,,
1016:28 [1246],,,,m,,Sd,,
1016:31 [1247],,,,,,,,
1016:32 [1248],,,,,,,,
1016:45 [1249],m,,,m,,m,m,
1016:49 [1250],m,m,,,,m,,
1016:65 [1251],,m,m,m,m,m,,
1021:31 [1252],,m,m,m,,m,m,
1021:60 [1253],,,Sd,,,,,
1023:5 [1254],,,,Sd,,,,
1023:13 [1255],,Sd,Sd,,,,Sd,
1023:24 [1256],,m,m,m,,m,m,
1023:25 [1257],,Sd,Sd,Sd,,,Sd,
1023:27 [1258],,,,m,,,,
1023:38 [1259],,Sd,Sd,,,,,
1023:49 [1260],,,Sd,,,,Sd,
1023:76 [1261],,,,,,,,
1024:3 [1262],Sd,,Sd,m,m,,,
1024:61 [1263],,,,,,,Sd,
1027:39 [1264],,,,,,,,
1027:49 [1265],,,,,,m,m,
1029:6 [1266],,,,Sd,Sd,,Sd,
1029:63 [1267],,,,m,m,Sd,Sd,
1032:7 [1268],Sd,,m,,,m,,
1032:9 [1269],m,m,m,m,m,,,
1032:53 [1270],,,,,,,,
1034:6 [1271],,m,m,m,,m,m,
1034:66 [1272],,,,m,,Sd,,
1034:69 [1273],,,,,Sd,,,
1034:71 [1274],,m,m,m,,m,m,
1040:42 [1275],Sd,m,m,m,m,m,m,
1041:5 [1276],m,,m,,,m,m,
1041:29 [1277],m,m,,,m,,,
1041:63 [1278],,m,,m,,m,,
1041:65 [1279],m,m,,m,,m,m,
1041:79 [1280],Sd,,,,,,,
1043:9 [1281],,,m,,,,,
1043:14 [1282],,,m,,,,,
1043:19 [1283],Sd,,Sd,m,m,m,m,
1043:37 [1284],,,Sd,,,,,
1043:57 [1285],Sd,,Sd,m,m,m,m,
1043:63 [1286],Sd,,Sd,m,m,m,m,
1043:74 [1287],,m,m,,,m,m,
1044:40 [1288],m,,,,,,m,
1044:71 [1289],,,,,m,,,
1045:38 [1290],,,Sd,,,,,
1045:40 [1291],,,,,,,Sd,
1045:63 [1292],,m,m,,m,m,m,
1048:6 [1293],,,m,m,Sd,m,,
1048:13 [1294],Sd,,,,,,,
1048:36 [1295],Sd,,,,,,,
1048:52 [1296],,,m,m,m,m,m,
1048:59 [1297],,,m,,Sd,,,
1048:72 [1298],,,,,Sd,,,
1048:79 [1299],,,,,Sd,,,
1049:22 [1300],m,m,m,m,m,m,m,FIXED
1049:28 [1301],,m,m,Sd,m,m,Sd,
1049:33 [1302],m,m,m,,m,m,,
1049:68 [1303],,m,,m,m,Sd,m,
1051:3 [1304],,,,,,,,
1051:27 [1305],m,,m,,,,m,
1051:31 [1306],,,,,,,,
1051:42 [1307],,,,,,,,
1051:57 [1308],m,m,m,m,m,,m,
1051:78 [1309],Sd,,,,m,,,
1055:29 [1310],,m,,m,m,m,m,
1055:31 [1311],,m,,m,m,m,m,
1055:34 [1312],,m,,m,m,m,m,
1055:52 [1313],,,,,,,,
1061:7 [1314],m,m,,m,m,,m,
1061:60 [1315],m,m,m,m,,m,,
1064:41 [1316],m,,m,Sd,,,,
1064:64 [1317],m,m,,Sd,,,m,
1068:40 [1318],Sd,,,,,,,
1068:52 [1319],,,,,,,Sd,
1074:7 [1320],,,,,,,,
1074:19 [1321],,,,,,,,
1074:26 [1322],,,m,m,,,,
1074:29 [1323],m,Sd,,,Sd,m,m,
1074:39 [1324],,,,,,,,
1074:50 [1325],,,,,,,,
1074:72 [1326],Sd,,,m,,m,,
1074:75 [1327],,Sd,,,,,,
1074:76 [1328],,,,,,,,
1076:18 [1329],,,Sd,,,,,
1076:23 [1330],,,Sd,,,,,
1076:61 [1331],m,,,m,m,,m,
1077:29 [1332],m,,,,,,,
1077:30 [1333],m,,,,,,,
1077:39 [1334],Sd,,,,,,Sd,
1077:59 [1335],m,,,,,,,
1077:72 [1336],Sd,,,,,,Sd,
1078:20 [1337],m,,,,,m,,
1078:74 [1338],m,m,,m,m,m,m,
1078:80 [1339],m,,,,,m,,
1080:44 [1340],,Sd,,,,Sd,,
1080:50 [1341],m,m,,m,,m,m,
1082:3 [1342],,m,m,m,m,m,,
1082:56 [1343],,,,m,m,m,m,
1082:76 [1344],,m,m,m,m,m,,
1083:8 [1345],m,m,,m,m,m,,
1083:42 [1346],,,,,,,,
1083:77 [1347],,,,,,,,
1083:79 [1348],,,,,,,,
1086:15 [1349],,,,m,,,,
1086:42 [1350],m,,,,,,,
1086:58 [1351],,,,,,,,
1086:73 [1352],m,,m,m,m,,m,
1086:75 [1353],,,m,m,,,m,
1086:80 [1354],m,,m,m,,m,m,
1093:1 [1355],,m,,,,m,,
1093:13 [1356],,,,,m,,Sd,
1094:1 [1357],m,m,m,m,,,m,
1095:31 [1358],m,m,,m,,m,m,
1095:63 [1359],m,m,,m,,m,m,
1099:34 [1360],Sd,m,,,Sd,,,
1106:2 [1361],,,,Sd,,,Sd,
1106:57 [1362],Sd,,m,m,m,Sd,,
1107:5 [1363],,,,,m,,,
1107:6 [1364],m,,,m,m,m,m,
1107:8 [1365],m,m,,m,,m,m,
1107:14 [1366],m,,,m,,,,
1107:38 [1367],m,m,m,m,m,,,
1107:39 [1368],m,m,m,m,m,m,,
1107:40 [1369],,m,m,,,,m,
1107:48 [1370],,,m,,,m,m,
1109:48 [1371],m,m,m,,m,,,
1109:63 [1372],m,m,m,,m,,,
1114:71 [1373],,m,m,m,,m,,
1120:40 [1374],m,,m,,,,,
1126:35 [1375],m,,m,m,m,,m,
1126:72 [1376],,,,,,,,
1126:78 [1377],,,,,,Sd,,
1128:24 [1378],Sd,,,,,,,
1128:41 [1379],Sd,,,,,,,
1128:48 [1380],Sd,m,m,,Sd,,m,
1128:50 [1381],,,m,,,,m,
1128:57 [1382],m,,,m,,,,
1128:59 [1383],Sd,m,m,,Sd,,m,
1130:70 [1384],,m,m,m,m,,m,
1130:77 [1385],m,m,m,,,,,
1131:50 [1386],,,Sd,,,,,
1131:65 [1387],,,Sd,,,,,
1132:11 [1388],,m,m,m,m,,m,
1132:20 [1389],,m,m,m,m,,m,
1132:26 [1390],,,,,,,,
1132:40 [1391],,m,m,m,m,,m,
1132:53 [1392],,m,m,m,m,,m,
1132:60 [1393],,,,Sd,,,,
1132:63 [1394],m,m,,,,m,m,
1132:66 [1395],m,m,,,,m,m,
1134:14 [1396],,m,,Sd,m,,Sd,
1134:33 [1397],m,,,,Sd,,m,
1137:4 [1398],,,Sd,,,,,
1137:28 [1399],m,,m,m,Sd,m,,
1137:52 [1400],Sd,,,,Sd,,Sd,
1137:57 [1401],,m,,m,m,,m,
1137:79 [1402],,,,,,,,
1139:3 [1403],,m,,,,,,
1139:13 [1404],,,,,,,,
1139:14 [1405],,m,,,,,,
1139:26 [1406],m,m,,m,,,,
1139:32 [1407],m,,m,,m,m,,
1139:47 [1408],,,,,m,,,
1139:50 [1409],,m,m,,m,m,m,
1139:77 [1410],,,,,m,,,
1140:28 [1411],,,,,,Sd,Sd,
1140:37 [1412],m,,,,,,Sd,
1140:38 [1413],,,,,,Sd,Sd,
1140:41 [1414],,,,,,Sd,Sd,
1140:46 [1415],,m,m,m,,m,m,
1140:60 [1416],m,m,m,m,m,,,
1140:73 [1417],m,,m,,,,m,
1143:8 [1418],,,,,,,,
1143:12 [1419],m,m,,,m,,m,
1143:16 [1420],Sd,,Sd,,,,,
1143:28 [1421],,,,,,,,
1143:37 [1422],m,,m,,m,m,m,
1143:58 [1423],Sd,,Sd,,,,,
1143:59 [1424],Sd,m,m,m,m,,m,
1143:64 [1425],Sd,m,m,m,m,,m,
1143:73 [1426],Sd,,Sd,,,,,
1145:42 [1427],,,m,,,,,
1146:21 [1428],,m,m,Sd,Sd,,,
1146:44 [1429],,,,,,,,
1146:65 [1430],,,,,m,,m,
1146:80 [1431],,,,,,,,
1147:6 [1432],,m,,,,,,
1147:16 [1433],,,,,,,,
1147:64 [1434],,,,,m,m,m,
1151:28 [1435],,,,,,,Sd,
1151:32 [1436],m,,,m,,m,,
1151:56 [1437],m,,m,m,,m,,
1155:8 [1438],,,,Sd,,,,
1155:18 [1439],,,,Sd,,,Sd,
1155:23 [1440],m,,,,m,,,
1155:28 [1441],Sd,m,,Sd,,,,
1155:40 [1442],,,,,,,Sd,
1155:52 [1443],,,,,,Sd,,
1155:80 [1444],m,m,,m,,,,
1156:8 [1445],m,,,m,,,,
1156:11 [1446],,,,,Sd,,,
1156:26 [1447],,m,,m,,m,m,
1157:2 [1448],,,,m,,m,,
1157:15 [1449],,,,,Sd,,,
1157:30 [1450],m,m,,m,Sd,m,Sd,
1157:38 [1451],,,,,Sd,,,
1157:45 [1452],,Sd,,m,,,,
1157:67 [1453],,,,,,,,
